COD_CURSO;NUM_VERSAO;DESCR_ESTRUTURA;COD_DISCIPLINA;NOME_UNIDADE;NOME_DISCIPLINA;PERIODO_IDEAL;NUM_HORAS;TIPO_DISCIPLINA;SITUACAO_VERSAO;CH_TOTAL
;;;;;;;;;;
21A;2011;Atividades Formativas Complementares;AAC034;Curso de Ciência da Computação - Bacharelado;Atividades Formativas Complementares;;480;Obrigatória;A;480
21A;2011;Obrigatórias;CE003;Curso de Ciência da Computação - Bacharelado;Estatística II;4;60;Obrigatória;A;60
21A;2011;Obrigatórias;CI055;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS I;1;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI055;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS I;1;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI056;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS II;2;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI056;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS II;2;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI057;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS III;3;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI057;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS III;3;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI058;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES I;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI058;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES I;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI059;Curso de Ciência da Computação - Bacharelado;INTRODUCAO A TEORIA DA COMPUTACAO;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI059;Curso de Ciência da Computação - Bacharelado;INTRODUCAO A TEORIA DA COMPUTACAO;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI061;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES II;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI061;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES II;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI062;Curso de Ciência da Computação - Bacharelado;TECNICAS ALTERNATIVAS DE PROGRAMACAO;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI062;Curso de Ciência da Computação - Bacharelado;TECNICAS ALTERNATIVAS DE PROGRAMACAO;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI064;Curso de Ciência da Computação - Bacharelado;SOFTWARE BASICO I;3;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI064;Curso de Ciência da Computação - Bacharelado;SOFTWARE BASICO I;3;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI065;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E TEORIA DOS GRAFOS;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI065;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E TEORIA DOS GRAFOS;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI067;Curso de Ciência da Computação - Bacharelado;OFICINA DE COMPUTACAO;2;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI067;Curso de Ciência da Computação - Bacharelado;OFICINA DE COMPUTACAO;2;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI068;Curso de Ciência da Computação - Bacharelado;CIRCUITOS LOGICOS;1;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI068;Curso de Ciência da Computação - Bacharelado;CIRCUITOS LOGICOS;1;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI162;Curso de Ciência da Computação - Bacharelado;Engenharia de Requisitos;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI162;Curso de Ciência da Computação - Bacharelado;Engenharia de Requisitos;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI163;Curso de Ciência da Computação - Bacharelado;Projeto de Software;6;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI163;Curso de Ciência da Computação - Bacharelado;Projeto de Software;6;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI164;Curso de Ciência da Computação - Bacharelado;Introdução à Computação Científica;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI164;Curso de Ciência da Computação - Bacharelado;Introdução à Computação Científica;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI165;Curso de Ciência da Computação - Bacharelado;Análise de Algoritmos;6;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI165;Curso de Ciência da Computação - Bacharelado;Análise de Algoritmos;6;30;Obrigatória;A;60
